nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
112;10.2;95.0;95.0;79.0
191;10.3;90.0;98.0;85.0
107;11.6;96.0;98.0;93.0
105;11.2;92.0;97.0;90.0
146;12.6;89.0;98.0;99.0
113;8.6;93.0;97.0;81.0
86;12.1;88.0;99.0;91.0
174;10.1;95.0;95.0;80.0
117;13.0;96.0;98.0;97.0
163;12.4;93.0;100.0;96.0
161;11.7;93.0;97.0;92.0
96;11.7;94.0;97.0;94.0
48;11.0;89.0;96.0;85.0
55;10.6;94.0;100.0;87.0
45;13.3;94.0;100.0;98.0
121;11.9;92.0;98.0;93.0
51;11.6;97.0;100.0;92.0
138;12.1;83.0;100.0;94.0
93;11.9;93.0;98.0;89.0
51;11.5;91.0;96.0;94.0
108;11.6;95.0;100.0;90.0
99;12.7;86.0;99.0;99.0
98;12.2;91.0;98.0;95.0
128;12.1;92.0;93.0;99.0
112;10.9;90.0;94.0;85.0
112;9.4;90.0;99.0;88.0
60;11.1;96.0;100.0;97.0
52;10.1;94.0;100.0;83.0
69;9.6;93.0;96.0;84.0
33;10.6;87.0;100.0;97.0
60;11.5;76.0;97.0;97.0
74;11.5;77.0;97.0;82.0
158;12.2;85.0;97.0;93.0
78;9.9;91.0;96.0;79.0
121;10.8;95.0;95.0;88.0
90;10.7;91.0;98.0;84.0
46;11.8;98.0;96.0;98.0
101;11.3;98.0;95.0;89.0
190;10.7;92.0;96.0;89.0
125;12.7;89.0;100.0;93.0
121;13.2;87.0;98.0;99.0
34;13.5;98.0;97.0;100.0
39;13.0;90.0;100.0;100.0
193;11.0;87.0;95.0;84.0
140;12.0;93.0;99.0;96.0
91;10.5;79.0;96.0;71.0
149;13.2;92.0;100.0;95.0
224;9.8;86.0;95.0;80.0
138;10.9;88.0;98.0;83.0
69;9.5;83.0;92.0;86.0
119;12.6;95.0;97.0;95.0
239;13.0;90.0;97.0;99.0
95;10.2;88.0;96.0;80.0
172;12.4;95.0;98.0;92.0
55;13.1;94.0;100.0;98.0
98;13.6;97.0;99.0;100.0
48;11.4;87.0;96.0;100.0
40;13.5;91.0;100.0;98.0
77;10.9;91.0;97.0;96.0
96;12.3;88.0;89.0;96.0
126;11.9;80.0;93.0;90.0
163;12.3;93.0;95.0;91.0
95;12.9;81.0;95.0;97.0
150;14.1;95.0;99.0;97.0
110;11.2;95.0;93.0;96.0
91;12.5;90.0;99.0;98.0
50;11.5;89.0;100.0;90.0
64;12.4;88.0;98.0;98.0
116;12.0;91.0;96.0;91.0
82;11.1;74.0;88.0;74.0
128;13.5;92.0;99.0;94.0
145;11.6;90.0;88.0;92.0
174;13.9;92.0;100.0;100.0
105;10.0;78.0;95.0;76.0
136;11.8;94.0;96.0;94.0
142;11.0;84.0;96.0;85.0
110;13.5;95.0;96.0;95.0
130;12.6;98.0;97.0;94.0
106;11.9;88.0;97.0;92.0
81;11.3;88.0;96.0;93.0
69;12.5;91.0;96.0;99.0
202;12.5;93.0;100.0;100.0
257;15.6;92.0;99.0;100.0
123;14.7;85.0;100.0;100.0
177;14.3;85.0;96.0;100.0
188;12.9;90.0;98.0;100.0
124;13.1;97.0;98.0;99.0
114;11.9;86.0;98.0;95.0
140;11.6;94.0;100.0;96.0
141;13.0;95.0;95.0;95.0
143;12.4;97.0;100.0;94.0
123;11.3;82.0;93.0;89.0
81;12.1;91.0;96.0;93.0
98;11.6;96.0;100.0;96.0
165;9.9;96.0;97.0;86.0
95;9.1;83.0;90.0;62.0
157;10.6;95.0;96.0;77.0
117;13.6;92.0;99.0;100.0
149;10.5;83.0;92.0;83.0
133;9.1;89.0;98.0;86.0
98;10.1;98.0;95.0;84.0
139;9.6;84.0;98.0;82.0
75;10.4;91.0;93.0;97.0
151;14.9;90.0;99.0;100.0
223;13.6;95.0;100.0;100.0
167;9.2;86.0;95.0;81.0
115;13.0;98.0;99.0;97.0
73;12.4;97.0;96.0;88.0
114;11.5;96.0;99.0;89.0
99;11.3;94.0;98.0;89.0
48;10.4;77.0;100.0;100.0
54;12.3;93.0;98.0;98.0
74;10.7;93.0;96.0;91.0
33;10.2;91.0;97.0;91.0
41;10.0;94.0;95.0;85.0
94;11.8;94.0;93.0;91.0
41;11.6;91.0;89.0;100.0
56;11.1;85.0;96.0;82.0
90;10.6;92.0;96.0;90.0
65;10.2;93.0;92.0;97.0
83;9.9;78.0;100.0;98.0
48;11.6;90.0;91.0;98.0
90;10.0;90.0;100.0;74.0
164;10.2;96.0;93.0;91.0
62;10.1;89.0;97.0;89.0
51;9.9;89.0;100.0;82.0
46;11.8;93.0;98.0;98.0
121;11.7;95.0;98.0;94.0
88;12.7;94.0;100.0;95.0
45;10.6;91.0;100.0;87.0
46;9.8;76.0;83.0;87.0
74;11.9;84.0;94.0;96.0
135;14.2;83.0;99.0;99.0
